UniTCM_herb_ID,herb_english_name,herb_chinese_name,herb_pinyin_name,herb_alias_name_ch,herb_alias_name_en,herb_latin_name,source,herb_tcmbank_id,TCMID_id,TCM_ID_id,SymMap_id,TCMSP_id,Herb_ID,TCMKD_ID,flavors,properties,Meridians,medicinal_part,efficacy,Indication,Toxicity,Clinical_manifestations,Therapeutic_en_class,Therapeutic_cn_class,acquisition_time,Standards_for_Medicinal_Use,family,producer,Origin_text,PMID
11459,Ashwagandha / Somniferous Withania,醉茄,ZUI JIA,睡茄;印度人参,Withania somnifera;Winter Cherry;Indian Ginseng,,TCMKD,,,,,,,TCMH0118,,,,,,,,,,,,,,,,
11470,"Northeast Spineginseng, Tall Oplopanax",刺参,CI CAN,刺人参;辽东楤木,Oplopanax elatus;Devil's club,,TCMKD,,,,,,,TCMH0157,,,,,,,,,,,,,,,,
11474,"Conium Maculatum, Poison Ginseng",毒参,,,,,TCMKD,,,,,,,TCMH0162,,,,,,,,,,,,,,,,
11521,Panax Pseudoginseng Wall.,三七,SAN QI,田七;金不换;山漆,Notoginseng;Pseudo-ginseng;Sanqi,,TCMKD,,,,,,,TCMH0301,,,,,,,,,,,,,,,,
11582,Ashwagandha,醉茄,ZUI JIA,印度人参;睡茄,Withania somnifera;Indian ginseng;Winter cherry,,TCMKD,,,,,,,TCMH0492,,,,,,,,,,,,,,,,
11832,"Ginseng Leaf, Ginseng Folium",人参叶,REN SHEN YE,,"人参苗,参叶",Ginseng Folium,"Dictionary of Traditional Chinese Pharmacy (2nd Edition),Pharmacopoeia of the People 's Republic of China ( 2020 Edition )",,,,,,,TCMH0957,Bitter;sweet,Cold,Lung; Stomach,Leaf,"Tonifies qi, benefits lungs, alleviates summerheat, generates fluids.",,,,Tonic medicines,,Collected in the autumn.,,Araliaceae,"吉林,辽宁,黑龙江",中药人参叶，别名为人参苗，参叶，性寒，味苦，甘，属五加科，药用部位为叶，秋季采收。 主要功效为补气、益肺、祛暑、生津。,
11892,"American Ginseng, Panacis Quinquefolii Radix",西洋参,XI YANG SHEN,,"西洋人参,洋参,西参,花旗参,广东人参",Panacis Quinquefolii Radix,"Dictionary of Traditional Chinese Pharmacy (2nd Edition),Pharmacopoeia of the People 's Republic of China ( 2020 Edition )",,,,,,,TCMH1042,Sweet;slightly bitter,Cool,Heart; Lung; Kidney,Root,"Tonifies qi, nourishes yin, clears heat, generates fluids.",,,,Tonic medicines,,Collected in the autumn.,,Araliaceae,"黑龙江,吉林,辽宁,北京,天津,河北,山西,内蒙古",中药西洋参，别名为西洋人参，洋参，西参，花旗参，广东人参，性凉，味甘，微苦，属五加科，药用部位为根，秋季采收。 主要功效为补气养阴、清热生津。,
11941,"Largeleaf Japanese Ginseng Rhizome, Panacis Majoris Rhizoma",珠子参,ZHU ZI SHEN,,"鸡腰参,大金线吊葫芦,珠儿参,白地瓜",Panacis Majoris Rhizoma,"Dictionary of Traditional Chinese Pharmacy (2nd Edition),Pharmacopoeia of the People 's Republic of China ( 2020 Edition )",,,,,,,TCMH1104,Bitter;sweet,Slightly cold,Liver; Lung; Stomach,Root,"Tonifies lungs, nourishes yin, disperses stasis to stop pain and bleeding.",,,,Tonic medicines,,Collected in the autumn.,"The best ones are large, plump, bright, and free of jointed textures and coarse skin.",Araliaceae,"四川,贵州,陕西,甘肃,山西,湖北,河南,西藏,云南,青海,宁夏,新疆",中药珠子参，别名为鸡腰参，大金线吊葫芦，珠儿参，白地瓜，性微寒，味苦，甘，属五加科，药用部位为根，秋季采收。 主要功效为补肺、养阴、祛瘀、止痛、止血。,
11995,American Ginseng (Panax Quinquefolius),刺参,CI SHEN,,刺续断,,Dictionary of Traditional Chinese Pharmacy (2nd Edition),,,,,,,TCMH1212,Sweet;astringent,Warm,,Leaf,"Treats neurasthenia, cough, fractures from falls, leukorrhea, and impotence.",,,,,,Collected in autumn and winter.,,Dipsacaceae,"内蒙古,甘肃,青海,四川,西藏,吉林",中药刺参，别名为刺续断，性温，味甘，涩，属川续断科，药用部位为叶，秋、冬采挖。 主要功效为治神经衰弱，咳嗽，跌打骨折，白带，阳痿。,
12093,Pseudo-Ginseng,黄三七,HUANG SAN QI,,"土黄连,太白黄连（《陕西中草药》）。",Actaea vaginata (Maxim.) J. Compton,Dictionary of Traditional Chinese Pharmacy (2nd Edition),,,,,,,TCMH1393,Bitter,Cool,,"Rhizome,Whole herb","Shaanxi herbal medicine: ""Drains fire and dries dampness, clears the heart and relieves irritability, antibacterial and anti-inflammatory, strengthens the stomach. Treats pharyngitis, conjunctivitis, oral inflammation, feverish bones, palpitations, restlessness, bacterial dysentery, enteritis, carbuncles, and abscesses.""",,,,,,Collected after autumn.,,Ranunculaceae,"陕西,甘肃,青海,四川,云南,西藏","中药黄三七，别名为土黄连，太白黄连（《陕西中草药》）。性凉，味苦，属毛茛科，药用部位为根茎，全草，秋后采收。 主要功效为《陕西中草药》：""泻火燥湿，清心除烦，抗菌消炎，健胃。治咽炎，结膜炎，口腔炎，骨蒸潮热，心慌心悸，烦躁不安，菌痢，肠炎，痈疮肿毒。""",
12122,Jingsen'S Panax Ginseng,景天三七,JING TIAN SAN QI,,"土三七（《植物名实图考》），八仙草（《南京民间药草》），蝎子草（《江苏植药志》），血山草（《山西中药志》），吐血草（苏医《中草药手册》），见血散,活血丹（《浙江民间常用草药》）。",,Dictionary of Traditional Chinese Pharmacy (2nd Edition),,,,,,,TCMH1457,Sweet;slightly sour,Neutral,Heart; Liver,Whole herb,"Stops bleeding, resolves stasis. Treats hemoptysis, epistaxis, hematochezia, hematuria, metrorrhagia, bleeding from falls and impacts.",,,,,,Collected during the summer and autumn when flowering; the above-ground parts are cut and collected.,,Crassulaceae,"辽宁, 黑龙江, 吉林,河北,陕西,甘肃,宁夏",中药景天三七，别名为土三七（《植物名实图考》），八仙草（《南京民间药草》），蝎子草（《江苏植药志》），血山草（《山西中药志》），吐血草（苏医《中草药手册》），见血散，活血丹（《浙江民间常用草药》）。性平，味甘，微酸，属景天科，药用部位为全草，夏、秋间开花时；割取地上部分。 主要功效为止血，化瘀。治吐血，衄血，便血，尿血，崩漏，跌打损伤。,
12202,Ginseng Leaves,人参须,REN SHEN XU,,,,Dictionary of Traditional Chinese Pharmacy (2nd Edition),,,,,,,TCMH1661,Sweet;bitter,Neutral,Lung,"Radicle,Fibrous root","Boosts qi, produces fluid, and quenches thirst. Treats cough with hemoptysis, thirst, and nausea due to a deficient stomach.",,,,,,,,Araliaceae,"河北,辽宁,吉林,黑龙江,北京,山西",中药人参须，性平，味甘，苦，属五加科，药用部位为细根，须根 主要功效为益气，生津，止渴。治咳嗽吐血，口渴，胃虚呕逆。,
12825,Ginseng Flower,人参花,REN SHEN HUA,,,,Chinese Herbal Medicine,,,,,,,TCMH2979,,,,Inflorescence,"Tonifies qi and strengthens the body; delays aging. Treats general weakness, dizziness, blurred vision, and chest tightness with shortness of breath.",,,,,,Collected in June and July.,,Araliaceae,"河北,辽宁,吉林,黑龙江,北京,山西",中药人参花，属五加科，药用部位为花序，6-7月采收。 主要功效为补气强身；延缓衰老。主头昏乏力；胸闷气短,
12826,Ginseng Seed,人参子,REN SHEN ZI,,,,Chinese Herbal Medicine,,,,,,,TCMH2981,,,,Fruit,"Tonifies qi and strengthens the body; delays aging. Treats general weakness, dizziness, blurred vision, and chest tightness with shortness of breath.",,,,,,Harvested in early autumn when the fruit is ripe.,,Araliaceae,"河北,辽宁,吉林,黑龙江,北京,山西",中药人参子，属五加科，药用部位为果实，秋初果熟时采摘。 主要功效为补气强身；延缓衰老。主体虚乏力；头昏失眼；胸闷气短,
12927,Pseudo-Ginseng,土三七,TU SAN QI,,"见肿消,乳香草,奶草,泽兰,叶下红,散血草,和血丹,天青地红,破血丹,血牡丹,三七草,九头狮子草,白田七草,血当归,红背三七,散血丹,血三七,菊叶三七,水三七,紫背三七,狗头三七",Senecio Chrysanthemoides,Chinese Herbal Medicine,,,,,,,TCMH3182,Sweet;slightly bitter,Warm,,"Root,Whole herb",Stops bleeding; disperses blood stasis; reduces swelling and relieves pain; clears heat and detoxifies.,,,,,,"Harvested during vigorous growth in July to August, or as needed.",,Asteraceae,"河北,陕西,江苏,安徽,浙江,江西,台湾,湖北,湖南,广东,广西,四川,贵州,云南",中药土三七，别名为见肿消，乳香草，奶草，泽兰，叶下红，散血草，和血丹，天青地红，破血丹，血牡丹，三七草，九头狮子草，白田七草，血当归，红背三七，散血丹，血三七，菊叶三七，水三七，紫背三七，狗头三七，性温，味甘，微苦，属菊科，药用部位为根，全草，7-8月间生长茂盛时采，或随用随采。 主要功效为止血；散瘀；消肿止痛；清热解毒。主吐血；衄血；咯血；便血；崩漏；外伤出血；痛经；产后瘀滞腹痛；跌打损伤；风湿痛；疮痈疽疔；虫蛇咬伤,
13116,"Sanchi, Notoginseng Radix Et Rhizoma",三七,SAN QI,,"山漆,金不换（《纲目》），血参（《医林纂要》），参三七（《本草便读》），田三七,田漆（《伪药条辨》），田七（《岭南采药录》）。",Notoginseng Radix et Rhizoma,"National Chinese Herbal Medicine,Pharmacopoeia of the People 's Republic of China ( 2020 Edition )",,,,,,,TCMH3539,Sweet;slightly bitter,Warm,Liver; Stomach,Root tuber,"Disperses stasis to stop bleeding, reduces swelling, stops pain.",,,,Hemostatic medicines,,Collected in the fall before the flowers bloom.,"The best ones are large, heavy, firm, and have gray-green cross-sections.",Araliaceae,"云南,广西",中药三七，别名为山漆，金不换（《纲目》），血参（《医林纂要》），参三七（《本草便读》），田三七，田漆（《伪药条辨》），田七（《岭南采药录》）。性温，味甘，微苦，属五加科，药用部位为块根，秋季花开前采收。 主要功效为散瘀止血、消肿定痛。,
13542,Panax pseudo-ginseng var. japonicus,竹节参,ZHU JIE CAN,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
16257,Panax pseudoginseng var. notoginseng,三七,SAN QI,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
16337,Panax ginseng x Panax quinquefolium,人参西洋参杂交种,REN SHEN XI YANG SHEN ZA JIAO ZHONG,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
17023,Panax pseudoginseng var. notoginseng,三七花蕾,SAN QI HUA LEI,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
17071,Panax pseudoginseng ssp. himalaicus,喜马拉雅人参,XI MA LA YA REN SHEN,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
17424,Panax pseudoginseng var. japonicus,竹节三七,ZHU JIE SAN QI,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
18016,Panax pseudo-ginseng var. notoginseng,三七花蕾,SAN QI HUA LEI,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
18394,Panax notoginseng,三七花蕾,SAN QI HUA LEI,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
18620,Panax notoginseng,三七花,SAN QI HUA,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
20821,Panax ginseng,人参,REN SHEN,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
21034,Panax pseudoginseng var. notoginseng,三七花,SAN QI HUA,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
23620,Panax pseudo-ginseng var. japonicus,竹节三七,ZHU JIE SAN QI,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
24222,Panax pseudo-ginseng,藏三七,CANG SAN QI,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
24507,Panax pseudoginseng var. japonicus,竹节参,ZHU JIE CAN,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
24721,Panax ginseng,人参叶,REN SHEN YE,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
25130,Panax pseudo-ginseng var. notoginseng,三七,SAN QI,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
25828,Panax ginseng,人参花蕾,REN SHEN HUA LEI,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
26734,Panax ginseng,朝鲜白参,CHAO XIAN BAI CAN,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
27197,Panax ginseng,朝鲜红参,CHAO XIAN HONG CAN,,,,book_batch2,,,,,,,,,,,,,,,,,,,,,,,
28527,Ginseng Folium,人参叶,REN SHEN YE,,,,book_batch1,,,,,,,,,,,,,,,,,,,,,,,
