Submission ID,Project Title,Short Abstract,Keywords,TCM Classification,Omics Type,Source Type,Organism,Tissue,Disease,Repository,Publication Year,Sample Number,Submitted By,Institution,View Count,Like Count,Downloads,Updated At
tcmomics000503,RNA-seq analyses of effects of Alpinetin and Zingiberone on hair follicle regeneration,This study investigated the effects of Alpinetin on transcriptome profiles during hair follicle regeneration in mice. RNA-seq analysis revealed 1567 differentially expressed genes in Alpinetin-treated skin samples compared to controls.,Alpinetin; Zingiberone; RNA-seq; hair follicle regeneration; transcriptome profiles,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,,GEO,2022,8,503,"Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University",0,0,0,
tcmomics000504,Change of gene expression for elemene in RBE,"This study investigated gene expression changes in RBE cells at 0, 24, and 48 hours after elemene induction using cDNA Microarray technology, providing a scientific basis for future experiments and clinical applications.",elemene;gene expression;cDNA microarray;RBE,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,,GEO,2022,3,504,Longhua Hospital,0,0,0,
tcmomics000506,A survey of optimal strategy for signature-based drug repositioning and an application to liver cancer (liver cancer cell lines),"This study investigates the effects of HHT on liver cancer cells for signature-based drug repositioning. RNA sequencing was performed to quantify mRNA expression levels after HHT treatment, revealing HHT-induced expression changes in liver cancer cell lines.",HHT;drug repositioning;liver cancer;RNA sequencing;gene expression,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,liver cancer,GEO,2022,26,506,Shanghai Cancer Institute,0,0,0,
tcmomics000509,RNA-seq analysis revealed that lapatinib-induced keratinocyte apoptosis is related to mitochondrial dysfunction and DNA damage,"Saikosaponin A mitigates lapatinib-induced keratinocyte apoptosis and cutaneous toxicity by rescuing HMGB1 transcription and preventing DNA damage. Lapatinib, an EGFR/ERBB2 inhibitor, causes skin rash through mitochondrial dysfunction and DNA damage.",lapatinib;keratinocyte apoptosis;mitochondrial dysfunction;DNA damage;saikosaponin A;HMGB1;cutaneous toxicity,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,,GEO,2022,6,509,Zhejiang University,0,0,0,
tcmomics000511,Mogrol attenuates osteoclast formation and bone resorption by inhibiting the TRAF6/MAPK/NF-?|??B signaling pathway in vitro and protects against osteoporosis in postmenopausal mice,"Mogrol, an aglycon of mogroside, inhibits osteoclast formation and bone resorption by suppressing the TRAF6/MAPK/NF-κB signaling pathway in vitro. It also protects against osteoporosis in postmenopausal mice, suggesting its potential for osteoporosis prevention and therapy.",Mogrol;osteoporosis;osteoclast formation;bone resorption;TRAF6/MAPK/NF-κB signaling pathway,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,osteoporosis,GEO,2022,6,511,Xiang'an Hospital of Xiamen University,0,0,0,
tcmomics000514,"Next Generation Sequencing Facilitates Quantitative Analysis of normal mice, colitis mice, normal mice receiving berberine and colitis mice receiving berberine colon transcriptomes","This study employs Next Generation Sequencing to analyze colon transcriptomes, comparing normal and colitis mice. It also evaluates berberine's effects in both normal and colitis mouse models.",Next Generation Sequencing; colon transcriptome; colitis; berberine; gene expression,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,colitis,GEO,2023,12,514,shanghai jiao tong university,0,0,0,
tcmomics000515,Integrative analysis of the pharmaceutical active ingredient and transcriptome of the aerial parts of Glycyrrhiza uralensis under salt stress reveals liquiritin accumulation via ABA-mediated signaling,"This study investigates liquiritin accumulation in Glycyrrhiza uralensis aerial parts under salt stress. It reveals that salt stress promotes liquiritin content via ABA-mediated signaling, identifying key genes and pathways involved in flavonoid biosynthesis, thus offering insights for genetic improvement.",Glycyrrhiza uralensis;liquiritin;salt stress;ABA-mediated signaling;transcriptome;flavonoid biosynthesis,TCM Active ingredient,Transcriptomics,manual collect,Glycyrrhiza uralensis,,,GEO,2022,24,515,Shihezi University,0,0,0,
tcmomics000520,Transcriptomic response of ginsenoside Rc (gRc) in C2C12 myotube under H2O2-induced oxidative stress,"This study investigates the transcriptomic response of ginsenoside Rc in C2C12 myotubes under H2O2-induced oxidative stress, analyzing its effects on myotubes in both resting and stressed conditions.",ginsenoside Rc;gRc;C2C12 myotube;oxidative stress;H2O2;transcriptomics,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,,GEO,2023,12,520,Pusan National University,0,0,0,
tcmomics000523,Transcriptome sequencing of pancreas and adipose tissues in obesity-related alcohol-induced acute pancreatitis,Transcriptomics and network pharmacology elucidated Chaiqin Chengqi Decoction's protective effects on obesity-related alcohol-induced acute pancreatitis by modulating the antioxidant protein response and downregulating the PI3K/Akt signaling pathway.,Chaiqin Chengqi Decoction;obesity-related alcohol-induced acute pancreatitis;transcriptomics;network pharmacology;antioxidant protein response;PI3K/Akt signaling pathway,Modern formula,Transcriptomics,manual collect,Mus musculus,,obesity-related alcohol-induced acute pancreatitis,GEO,2022,11,523,"West China Hospital, Sichuan University",0,0,0,
tcmomics000524,Expression Data from DMSO or honokiol treated THP-1 and U-937 cells,"This study utilized microarrays to evaluate the effect of honokiol on gene expression profiles in THP-1 and U-937 cells, investigating its molecular impact.",honokiol; gene expression; THP-1 cells; U-937 cells; microarrays,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,,GEO,2022,12,524,Stem cell institution of Weifang Medical University,0,0,0,
tcmomics000526,Corynoline protects Ang II-induced hypertensive heart failure by increasing PPAR?|?? and inhibiting NF-?|??B pathway,"Corynoline protects against Ang II-induced hypertensive heart failure by inhibiting cardiac inflammation, fibrosis, and hypertrophy. It achieves this by increasing PPARα activity and inhibiting the NF-κB pathway, demonstrating potential therapeutic utility for heart failure.",Corynoline;hypertensive heart failure;Ang II;PPARα;NF-κB pathway;cardiac inflammation;myocardial fibrosis;hypertrophy,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,hypertensive heart failure,GEO,2022,6,526,Wenzhou Medical University,0,0,0,
tcmomics000527,Complete transcriptome analysis of gene expression in colorectal cancer cells treated with ?|??-elemene,"This study investigated the differential gene expression in HCT116 colorectal cancer cells treated with 尾-elemene using transcriptome sequencing, aiming to understand its molecular mechanisms.",beta-elemene;colorectal cancer;transcriptome analysis;gene expression;HCT116 cells,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,colorectal cancer,GEO,2022,12,527,Anhui acupuncture hospital,0,0,0,
tcmomics000528,Effects of matrine on gene expression of myeloid leukemia cells,"This study investigates the molecular mechanism of matrine's anti-myeloid leukemia effect. Acute and chronic myeloid leukemia cells (HL-60, U937, K562) were treated with matrine, and RNA-Seq data was analyzed for gene expression profiles.",matrine;myeloid leukemia;gene expression;RNA-Seq;molecular mechanism;HL-60;U937;K562,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,myeloid leukemia,GEO,2022,27,528,Huizhou Third People's Hospital,0,0,0,
tcmomics000651,Shikonin inhibit progression of colon cancer,"This study investigates shikonin's role in colon cancer progression. HCT116 cells were treated with shikonin, followed by RNA-seq for gene expression profiling, aiming to understand its inhibitory effects.",shikonin;colon cancer;cancer progression;HCT116 cells;RNA-seq;gene expression profiling,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,colon cancer,GEO,2024,6,651,Tangdu Hospital of Air Force Medical University,0,0,0,
tcmomics000533,Icaritin inhibits PLK1 to activate DNA damage response in NK/T cell lymphoma and increases sensitivity to GELOX regime,"Icaritin, an herb-derived monomer, inhibits PLK1 to activate DNA damage response in NK/T cell lymphoma, inducing proliferation inhibition and apoptosis. It also increases sensitivity to the GELOX regimen, showing significant antitumor efficacy in vitro and in vivo.",Icaritin;NK/T cell lymphoma;PLK1;DNA damage response;GELOX regime,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,NK/T cell lymphoma,GEO,2022,18,533,Fudan University,0,0,0,
tcmomics000538,Effect of Celastrol on LncRNAs and mRNAs Profiles of Cerebral Ischemia-Reperfusion Injury in Transient Middle Cerebral Artery Occlusion Mice Model,"This study investigated Celastrol's protective effects on cerebral ischemia-reperfusion injury in tMCAO mice. RNA-Seq revealed differentially expressed lncRNAs and mRNAs. Bioinformatic analysis suggested that inflammation-related pathways are involved in Celastrol's neuroprotective mechanism, providing new insights into its therapeutic potential for ischemic stroke.",Celastrol; cerebral ischemia-reperfusion injury; lncRNA; mRNA; RNA-Sequencing; neuroprotection; tMCAO,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,Cerebral Ischemia-Reperfusion Injury,GEO,2022,9,538,Southern Medical University,0,0,0,
tcmomics000539,Real-time quantitative PCR analysis of mouse liver tissue and liver cells,"Oleuropein-enriched Jasminum grandiflorum extract (OLE-JGF) attenuates hepatocyte damage and metabolic dysfunction in fatty liver models. It modulates hepatic lipogenesis and mitochondrial biogenesis via the LKB1-PGC-1α axis, showing potential for chronic liver disease treatment.",Oleuropein; Jasminum grandiflorum; Non-alcoholic fatty liver disease; Hepatic lipogenesis; Mitochondrial biogenesis,TCM Active ingredient,Transcriptomics,manual collect,Mus,,non-alcoholic fatty liver disease,GEO,2022,7,539,Wuyi University,0,0,0,
tcmomics000540,"Genome-wide gene expression Streptococcus mutans under Aralia continentalis extracts such as acanthoic acid, continentalic acid and kaurenoic acid","This study examines genome-wide gene expression in Streptococcus mutans treated with three diterpenoids (acanthoic acid, continentalic acid, kaurenoic acid) from Aralia continentalis extracts, using RNA-seq transcriptome profiling to understand their effects.",Streptococcus mutans; Aralia continentalis; gene expression; RNA-seq; diterpenoids; acanthoic acid; continentalic acid; kaurenoic acid,TCM Active ingredient,Transcriptomics,manual collect,Streptococcus mutans,,,GEO,2022,15,540,Pusan national university,0,0,0,
tcmomics000541,"An herbal medicine-based formula affected the epithelial cell line, BEAS-2B, genes expression.","Virofree, an herbal formula, was studied for its effects on BEAS-2B epithelial cell gene expression. The research aimed to identify Virofree as a candidate drug for COVID-19 induced-ARDS, comparing its expression profiles to control groups.",Virofree;herbal medicine;gene expression;BEAS-2B;COVID-19;ARDS,Modern formula,Transcriptomics,manual collect,Homo sapiens,,COVID-19,GEO,2022,4,541,National Yang Ming Chiao Tung University,0,0,0,
tcmomics000543,Isorhamnetin Inhibits Proliferation and Invasion and Induces Apoptosis Through the Mitochondria?Dependent Apoptosis in Human Gastric Cancer Cells,"Isorhamnetin inhibits proliferation and invasion and induces apoptosis in human gastric cancer cells. This study reveals that Isorhamnetin mediates its antitumor effects via the mitochondria-dependent apoptotic pathway, suggesting its potential as a therapeutic agent for gastric cancer.",Isorhamnetin;gastric cancer;apoptosis;proliferation;invasion;mitochondria-dependent pathway,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,gastric cancer,GEO,2022,4,543,Northwest Normal University,0,0,0,
tcmomics000544,The effect of Asari Radix et Rhizoma on hematopoietic stem cells in C57BL/6 mouse.,This study investigated the toxicity of long-term Asari Radix et Rhizoma treatment on hematopoietic stem cells in C57BL/6 mice via 28-day gavage administration. Bone marrow cells were harvested for RNA-seq analysis to assess the effects of the treatment.,Asari Radix et Rhizoma; hematopoietic stem cells; toxicity; RNA-seq; C57BL/6 mouse,Herb/herbal medicine,Transcriptomics,manual collect,Mus musculus,,,GEO,2022,6,544,Korea Institute of Toxicology,0,0,0,
tcmomics000545,Protein KIC5 is a novel regulator of artemisinin stress response in the malaria parasite Plasmodium falciparum,"Protein KIC5 is a novel regulator of artemisinin stress response in the malaria parasite Plasmodium falciparum. RNAseq profiling of a KIC5 gene mutant revealed its role in artemisinin sensitivity, suggesting a new mechanism for drug action.",artemisinin; KIC5; Plasmodium falciparum; malaria; stress response; RNAseq; drug sensitivity,TCM Active ingredient,Transcriptomics,manual collect,Plasmodium falciparum,,malaria,GEO,2023,20,545,University of South Florida,0,0,0,
tcmomics000546,Integrated analysis reveals effects of bioactive ingredients from Limonium Sinense (Girard) Kuntze on hypoxia-inducible factor (HIF) activation,"This study investigated bioactive ingredients from the traditional Chinese medicinal herb Limonium Sinense, revealing strong growth inhibitory effects and a role for gallic acid in mediating hypoxia-inducible factor (HIF) activation.",Limonium Sinense;bioactive ingredients;hypoxia-inducible factor;HIF activation;gallic acid;traditional Chinese medicine,Herb/herbal medicine,Transcriptomics,manual collect,Homo sapiens,,breast cancer,GEO,2022,6,546,University of Southampton,0,0,0,
tcmomics000547,Inhibition of astrocytic DRD2 suppresses CNS inflammation in an animal model of multiple sclerosis [astrocyte],"This study investigates astrocytic DRD2's role in CNS inflammation in multiple sclerosis. Upregulated DRD2 in reactive astrocytes contributes to MS pathogenesis. Inhibition of astrocytic DRD2 suppresses inflammation, ameliorating EAE and suggesting a therapeutic target for autoimmune diseases.",DRD2;astrocytic DRD2;CNS inflammation;multiple sclerosis;EAE;dehydrocorybulbine;autoimmune diseases,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,multiple sclerosis,GEO,2022,4,547,Chinese Academy of Sciences,0,0,0,
tcmomics000549,Phloridzin reveals new treatment strategies for liver fibrosis,"Phloridzin, extracted from lychee core, effectively treats CCl4-induced liver fibrosis in mice. It reduces collagen deposition and improves biochemical indicators. Mechanistically, phloridzin primarily affects cell ferroptosis, carbon metabolism, and biomechanics, offering new strategies for liver fibrosis treatment.",Phloridzin;liver fibrosis;ferroptosis;lychee core;traditional Chinese medicine,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,liver fibrosis,GEO,2022,12,549,Beijing University of Chinese Medicine,0,0,0,
tcmomics000551,Gene expression of spinal cord in neuropathic pain rats treated by paeoniflorin- liquiritin combination,"This study investigates the alleviating effect of paeoniflorin-liquiritin combination on neuropathic pain, analyzing gene expression profiles in the spinal cord of spared nerve injury rats using RNA-seq data.",paeoniflorin-liquiritin combination;neuropathic pain;gene expression;RNA-seq;spinal cord,TCM Active ingredient,Transcriptomics,manual collect,Rattus norvegicus,,neuropathic pain,GEO,2022,9,551,Shaanxi University of Chinese Medicine,0,0,0,
tcmomics000553,Toosendanin suppresses African swine fever virus replication through upregulating IRF1 in porcine alveolar macrophage cultures,"Toosendanin (TSN), a triterpenoid saponin from Melia toosendan, potently inhibits African swine fever virus (ASFV) replication in porcine alveolar macrophages by upregulating the host IFN-stimulated gene IRF1. This suggests TSN as a potential antiviral agent for ASFV.",Toosendanin;African swine fever virus;ASFV;antiviral;IRF1;porcine alveolar macrophages;Melia toosendan,TCM Active ingredient,Transcriptomics,manual collect,Sus scrofa,,African swine fever,GEO,2022,12,553,South China Agricultural University,0,0,0,
tcmomics000556,Polydatin Alters Proliferative Properties and Synergizes the Inhibitory Activity of Doxorubicin and Cisplatin in hepatocellular Carcinoma,"Polydatin, a natural compound, exhibits anticancer activity and lifespan extension. This study investigates the molecular mechanism of polydatin's tumor suppressive effects in hepatocellular carcinoma (HCC) using RNA-seq on HepG2 cells, and its synergistic inhibitory activity with doxorubicin and cisplatin.",Polydatin;hepatocellular carcinoma;Doxorubicin;Cisplatin;synergy;proliferation;RNA-seq,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,hepatocellular carcinoma,GEO,2022,6,556,Northeast Forestry University,0,0,0,
tcmomics000557,RNA-sequencing of DMSO or Ginsenoside Rb1-treated Rat BMSCs,This study conducted RNA-sequencing on rat bone marrow stromal cells (BMSCs) treated with Ginsenoside Rb1 to investigate its effects on gene expression profiles.,Ginsenoside Rb1; RNA-sequencing; Rat BMSCs; gene expression,TCM Active ingredient,Transcriptomics,manual collect,Rattus norvegicus,,,GEO,2022,6,557,"Eye & ENT Hospital, Fudan University",0,0,0,
tcmomics000558,Transcriptome analysis reveals that jasmonic acid biosynthesis and signaling is associated with the biosynthesis of asperosaponin VI in Dipsacus asperoides,"Transcriptome analysis of Dipsacus asperoides roots revealed unique differentially expressed genes and enriched pathways, including jasmonic acid biosynthesis and signaling. These findings are associated with the biosynthesis of asperosaponin VI in D. asperoides.",Dipsacus asperoides; asperosaponin VI; transcriptome analysis; jasmonic acid; biosynthesis; differentially expressed genes,Herb/herbal medicine,Transcriptomics,manual collect,Dipsacus asperoides,,,GEO,2022,9,558,Guizhou University of traditonal Chinese Medicine,0,0,0,
tcmomics000561,Small molecule screening identifies Syk kinase inhibition and Rutaecarpine as modulators of macrophage training and SARS CoV-2 infection,"Rutaecarpine, a small molecule, enhances pro-inflammatory cytokine secretion and relieves LPS tolerance in human macrophages, potentially modulating epigenetic topology. A Syk kinase inhibitor promotes resistance to influenza A and SARS CoV-2 infection, suggesting its prophylactic application against viral susceptibility.",Rutaecarpine;Syk kinase inhibition;macrophage training;SARS CoV-2;LPS tolerance;epigenetic modulation;viral infection,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,SARS CoV-2 infection,GEO,2023,36,561,NIH,0,0,0,
tcmomics000601,The Triptryium wilfordii derivative celastrol has anti-fibrotic effects in systemic sclerosis [in vitro bulk RNA-seq],"Celastrol, a Triptryium wilfordii derivative and YAP1 inhibitor, demonstrates anti-fibrotic effects in systemic sclerosis. It mitigated fibrosis in human dermal fibroblasts and a bleomycin-induced mouse model by blocking YAP nuclear localization, suggesting its potential as a therapeutic agent for SSc skin fibrosis.",Celastrol;systemic sclerosis;fibrosis;YAP1;Triptryium wilfordii;anti-fibrotic;RNA-seq;myofibroblasts,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,systemic sclerosis,GEO,2024,8,601,University of Saskatchewan,0,0,0,
tcmomics000563,Chinese Herbal Formula (GCNY)-Medicated Serum Alleviates Peroxidation Induced by H2O2 in Human Microglial Cells,"Chinese herbal formula Gancao Nurish-Yin (GCNY) medicated serum alleviates H2O2-induced peroxidation in human microglial cells (HMC-3). This patent formula, known for its antioxidant properties, was given to rats, and the resulting serum demonstrated its anti-oxidation potential in vitro.",Gancao Nurish-Yin;GCNY;medicated serum;peroxidation;H2O2;microglial cells;HMC-3;antioxidant;Chinese herbal formula,Modern formula,Transcriptomics,manual collect,Homo sapiens,,,GEO,2022,9,563,"The Second Clinical Medical College, Jinan University (Shenzhen People's Hospital)",0,0,0,
tcmomics000564,Based on Transcriptomics to Explore the Mechanism of Maxing Shigan Decoction in Treating Viral Lung Injury Induced by Influenza A Virus in Mice,This study explores the transcriptomic mechanisms of Maxing Shigan Decoction (MXSGD) in treating viral lung injury induced by influenza A virus in mice. Researchers evaluated pathological changes and differential gene expression in lung tissues to understand MXSGD's therapeutic effects.,Maxing Shigan Decoction;viral lung injury;influenza A virus;transcriptomics;mechanism study,Classic formula,Transcriptomics,manual collect,Mus musculus,,Influenza A virus infection,GEO,2022,6,564,Hunan University of Chinese Medicine,0,0,0,
tcmomics000565,Exploring the effect of electroacupuncture stimulation of Lung Meridian of Hand-Taiyin on synaptic plasticity in rats with cerebral ischemia-reperfusion injury based on Transcriptomics,"This study investigates the effect of electroacupuncture on Lung Meridian of Hand-Taiyin acupoints on synaptic plasticity in rats with cerebral ischemia-reperfusion injury, using transcriptomics to elucidate therapeutic mechanisms.",Electroacupuncture;Lung Meridian of Hand-Taiyin;cerebral ischemia-reperfusion injury;synaptic plasticity;transcriptomics,Acupuncture & moxibustion,Transcriptomics,manual collect,Rattus norvegicus,,cerebral ischemia-reperfusion injury,GEO,2022,12,565,Hunan University of Chinese Medicine,0,0,0,
tcmomics000566,Transcriptome analysis reveals the effect of Atractylodes macrocephala Koidz. on DSS-induced colitis in mice,"This study investigates the effect and underlying mechanism of polysaccharide from Atractylodes macrocephala Koidz. (PAMK) on DSS-induced colitis in mice. Transcriptome analysis revealed that PAMK ameliorates colitis by regulating the immune response, supporting its potential use for ulcerative colitis.",Atractylodes macrocephala Koidz.;polysaccharide;ulcerative colitis;DSS-induced colitis;transcriptome analysis;immune response,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,ulcerative colitis,GEO,2022,9,566,China Pharmaceutical University,0,0,0,
tcmomics000620,Jakyak-gamcho-tang ameliorates dexamethasone-induced muscle atrophy and muscle dysfunction,Jakyak-gamcho-tang ameliorates dexamethasone-induced muscle atrophy and muscle dysfunction. This traditional formula shows promise in treating conditions characterized by muscle wasting and impaired muscle function.,Jakyak-gamcho-tang;dexamethasone;muscle atrophy;muscle dysfunction,Classic formula,Transcriptomics,manual collect,Mus musculus,,muscle atrophy,GEO,2025,101,620,Korean Institute of Oriental Medicine,0,0,0,
tcmomics000568,RNA sequencing of the regulatory network of ginsenoside biosynthesis under Ro stress in the hairy roots of Panax ginseng,"This study investigated the regulatory network of ginsenoside biosynthesis in Panax ginseng hairy roots under ginsenoside Ro stress. It found Ro inhibits growth and ginsenoside accumulation, modulating hormone pathways and gene expression. Key differentially expressed genes and miRNAs were identified, offering insights into continuous cropping disorders and stress responses in ginseng.",Panax ginseng;ginsenoside Ro;hairy roots;RNA sequencing;ginsenoside biosynthesis;continuous cropping;miRNA,TCM Active ingredient,Transcriptomics,manual collect,Panax ginseng,,,GEO,2022,6,568,Henan Academy of Agricultural Sciences,0,0,0,
tcmomics001823,Helveticoside was a biologically active component of seeds extract of Descurainia Sophia.,This study identified helveticoside as a biologically active component in the ethanol extract of Descurainia Sophia seeds. Its dose-dependent effects on gene expression were measured in A549 cells using microarray.,Helveticoside;Descurainia Sophia;active component;gene expression;A549 cells;microarray,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,,ArrayExpress,2016,8,1823,Korea Institute of Oriental Medicine,0,0,6,
tcmomics000569,SymMap database and TMNP algorithm reveal Huanggui Tongqiao granules for Allergic rhinitis through IFN-mediated neuroimmuno-modulation,"This study identified six active components in Huanggui Tongqiao granules (HTG) for allergic rhinitis (AR) using mass spectrometry. Through SymMap and TMNP, IFN-纬 was revealed as a key target, suggesting HTG exerts its effects via IFN-mediated neuroimmuno-modulation and immune/virus-related signaling pathways.",Huanggui Tongqiao granules;Allergic rhinitis;IFN-纬;neuroimmuno-modulation;SymMap database;TMNP algorithm;active components,Modern formula,Transcriptomics,manual collect,Mus musculus,,Allergic rhinitis,GEO,2022,6,569,Beijing University of Chinese Medicine,0,0,0,
tcmomics000574,CXCR1 and Its Downstream NF-?|??B Inflammation Signaling Pathway as a Key Target of Guanxinning Injection for Myocardial Ischemia/reperfusion Injury,"This study investigates Guanxinning injection's therapeutic effect on myocardial ischemia/reperfusion injury (MIRI) in mice. An MIRI model was established, and RNA-seq was performed to explore its mechanisms, targeting CXCR1 and NF-κB signaling.",Guanxinning Injection;Myocardial Ischemia/reperfusion Injury;CXCR1;NF-κB;RNA-seq,Chinese patent medicine,Transcriptomics,manual collect,Mus musculus,,Myocardial Ischemia/reperfusion Injury,GEO,2023,9,574,Tianjin University of Traditional Chinese Medicine,0,0,0,
tcmomics000575,Full-length transcriptome of Glycyrrhiza uralensis Fisch. in under five treatment,"This study investigated the full-length transcriptome of Glycyrrhiza uralensis Fisch. seedlings under various drought stress treatments, including Bacillus pumilus G5 and silicon applications. Using RNA-Seq, researchers identified differentially expressed genes to elucidate the molecular mechanisms by which G5 and silicon enhance the herb's drought tolerance.",Glycyrrhiza uralensis Fisch.;drought tolerance;Bacillus pumilus G5;silicon;full-length transcriptome;RNA-Seq,Herb/herbal medicine,Transcriptomics,manual collect,Glycyrrhiza uralensis,,,GEO,2022,15,575,Ningxia Medical University,0,0,0,
tcmomics000663,Sophoridine derivative 6j inhibits liver cancer cell proliferation via ATF3 mediated ferroptosis,"Sophoridine derivative 6j demonstrates promising anti-liver cancer effects by inducing ferroptosis. It upregulates ATF3 expression via ER stress, leading to the accumulation of Fe2+, ROS, and MDA, thereby inhibiting liver cancer cell proliferation.",Sophoridine derivative 6j; liver cancer; ferroptosis; ATF3; anti-cancer,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,liver cancer,GEO,2023,6,663,Guangxi University,0,0,0,
tcmomics000653,Double-kill mechanism of artemisinin against Plasmodium,"Artemisinin exhibits a double-kill antimalarial mechanism beyond free radicals, involving a heme/iron (HI)-use-disturbance effect. This dual action targets Plasmodium's DNA synthesis and pentose-phosphate pathway, as revealed by single-cell RNA sequencing. The mechanism of haemozoin formation also contributes to this unique antimalarial action.",artemisinin;antimalarial mechanism;Plasmodium;free radicals;heme;iron;HI-use-disturbance effect;DNA synthesis;pentose-phosphate pathway,TCM Active ingredient,Transcriptomics,manual collect,Plasmodium falciparum,,malaria,GEO,2024,14,653,"School of Medicine, Tongji University",0,0,0,
tcmomics000579,Xijiao Dihuang decoction protects against sepsis-induced cardiac dysfunction,"Xijiao Dihuang decoction (XJDHT) protects against sepsis-induced cardiac dysfunction. This study identifies differentially expressed genes in the heart of LPS-treated C57BL/6 mice after XJDHT administration, comparing them with control and LPS groups to understand its protective mechanisms.",Xijiao Dihuang decoction;sepsis;cardiac dysfunction;LPS;differentially expressed genes,Classic formula,Transcriptomics,manual collect,Mus musculus,,sepsis,GEO,2024,12,579,fujian university of traditional chinese medicine,0,0,0,
tcmomics000581,Bioinformatics Analysis of miRNAs Germacrone Protection of Diabetic Nephropathy,"This study explores Germacrone's protective mechanisms against Diabetic Nephropathy (DN) through bioinformatics analysis. It investigates how Germacrone alters the miRNA transcriptome in DN mice kidneys. RNA sequencing was performed on a DN mouse model, both with and without Germacrone pre-treatment, to identify critical miRNAs and pathways.",Germacrone;Diabetic Nephropathy;miRNAs;bioinformatics analysis;RNA sequencing,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,Diabetic Nephropathy,GEO,2022,18,581,Beihang university,0,0,0,
tcmomics000582,antitumor effect of berberine from perspective of gene expression,"This study investigates the pro-carcinogenic property of high-fat diet in AOM/DSS-induced colorectal cancer mice. It aims to elucidate how berberine inhibits adenocarcinoma formation induced by a high-fat diet, exploring its antitumor effect from a gene expression perspective.",berberine;antitumor effect;high-fat diet;colorectal cancer;gene expression;adenocarcinoma;AOM/DSS,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,Colorectal Cancer,GEO,2022,9,582,zhejiang chinese medical university,0,0,0,
tcmomics000583,Intervention effect and mechanism of Tianhe Zhuifeng liquid extract on myofascial pain syndrome,"This study investigates the intervention effect and mechanism of Tianhe Zhuifeng liquid extract on myofascial pain syndrome, utilizing an animal model and gene expression profiling analysis.",Tianhe Zhuifeng liquid extract;myofascial pain syndrome;intervention effect;mechanism;gene expression profiling;animal model,Modern formula,Transcriptomics,manual collect,Rattus norvegicus,,myofascial pain syndrome,GEO,2023,10,583,China Academy of Chinese Medical Science,0,0,0,
tcmomics000584,Transcriptomic responses to?cold stress in Dendrobium huoshanense C.Z. Tang et S.J. Cheng,"This study investigated the transcriptomic responses of Dendrobium huoshanense to cold stress. Through gene expression analysis, key pathways like flavonoid and hormone biosynthesis were identified, and increased mannose and flavonoid content were observed. This research provides insights into the molecular mechanisms of cold tolerance in this important herb.",Dendrobium huoshanense;cold stress;transcriptomics;flavonoid biosynthesis;plant hormone signal transduction;gene expression,Herb/herbal medicine,Transcriptomics,manual collect,Dendrobium huoshanense,,,GEO,2022,6,584,Anhui University of Chinese Medicine,0,0,0,
tcmomics000586,High-Throughput Sequencing Analysis of Differential MicroRNA Expression in the  Process of Blocking the Progression of Chronic Atrophic Gastritis to Gastric Cancer by Xianglianhuazhuo Formula,This study investigates the potential mechanism of Xianglianhuazhuo formula (XLHZ) in blocking the progression of chronic atrophic gastritis (CAG) to gastric cancer (GC). MicroRNA (miRNA) expression profiles in gastric mucosal tissues were analyzed by high-throughput sequencing to elucidate its mechanism.,Xianglianhuazhuo formula; chronic atrophic gastritis; gastric cancer; microRNA; high-throughput sequencing; mechanism of action,Modern formula,Transcriptomics,manual collect,Rattus norvegicus,,Gastric Cancer,GEO,2024,12,586,Hebei Province Traditional Chinese Medicine Hospital,0,0,0,
